Date,Description,Short Description
2024-09-12,"This week, our desk noticed that BTC market volatility started to pick up, with multiple key data releases on the US labour market and CPI before next week’s FOMC meeting. BTC price was closely tracking the US equities performance, while some altcoins had a more independent journey.Sui ($SUI) is a unique Layer 1 blockchain and smart contract platform that seeks to enhance digital asset ownership by making it fast, private, and accessible to everyone. The recently launched Grayscale Sui Trust, by the digital asset manager Grayscale, is available to accredited investors for SUI exposure. The bullish news helped SUI achieve a 15.3% gain in one week while BTC had a 0.8% loss during the same time.Book of Meme ($BOME) also saw strong trade demand on Convert last week. This meme coin saw a 73.4% volume increase on Convert and a 4.1% gain last week, outperforming many other meme coins with similar market capitalization.The layer-1 blockchain Cardano ($ADA) was introduced in 2017 by Charles Hoskinson, a co-founder of Ethereum. Its eagerly awaited ""Chang"" update was released on September 1st, completing the ecosystem's long-term shift to decentralized governance. Holders of ADA tokens will be able to influence Cardano's future by choosing governance representatives and approving development ideas thanks to this hard fork update. Last week, ADA had a 7.2% gain due to the bullish sentiment after the upgrade.Overall MarketThe above chart shows the BTC price movement in the 8-hour chart.The BTC price has been trading in this blue downward trend for nearly six months, and it has experienced a significant correction, with a 34% drop from the all-time high of $73,777 to $49,000, a market low caused by the carry trade unwind on August 5. As previously discussed, the $50k/$52k range served as a strong support zone, with the $57k level providing local support. BTC prices tested this again in the $50k/52k range last Friday following the disappointing nonfarm payroll data in the United States, raising market concerns about the US economy and the need for a 50 basis point rate cut by the Fed on September 18. Historically, when the Fed lowers interest rates in poor economic conditions, it usually results in a recession within 12 to 18 months.  And we expressed concern that the Fed's 50 basis point rate cut would trigger another round of risk asset sell-offs, pushing the BTC price below the strong support range of 50k/52k. If that scenario unfolds, the current bull cycle will effectively end and become the shortest in BTC history, aside from the 2013 cycle.This week's CPI data suggests that inflation in the United States is moving in the Fed's favour, and the market is now leaning toward a 25 basis point rate cut by the Fed on September 18. The reduced concern about a potential recession in the United States encourages risk-taking. Following the initial reaction to the CPI data, US stocks rallied and recovered all of their losses, closing higher. BTC tracked US equities closely, falling below $55.7k before rising above $57k before the session ended.The FOMC meeting will take place next week, and our desk anticipates some market volatility around the time when Fed Chair Powell delivers his speech after the meeting.Options MarketThe above chart is the 25-delta skewness on BTC options in the last two weeks.A 25-delta skew on options refers to the premium difference between a 25-delta call and a 25-delta put with the same expiry. The negative skew indicates that options traders would prefer to pay a higher premium on puts for downside protection than on calls for upside rewards. It provides a proxy measure for market sentiments by tracking the 25-delta skew across different expirations.As shown in the chart above, front-end BTC options (with a 7-day expiry) have been negative for the last two weeks, with the negative skew further lowering last Friday when BTC was sold below $52.7k. The chart also showed that market sentiment shifted to neutral over the weekend as the Bitcoin price recovered.The skew in medium- to long-term options suggested that options traders were not as bearish as indicated by the front-end options. In the last two weeks, the 60-day, 90-day, and 180-day expired options have all had above-zero skews, while the longer-dated options have maintained steady skews above 0. With the risk backdrop of reduced concern on the US recession and a Fed rate cut on the horizon, risk appetite is encouraged. We anticipate that the skew on BTC options across all durations will rise, indicating some bullish sentiment before/after the FOMC meeting.Macro at a glance Last Thursday (24-09-05)According to ADP nonfarm employment data, the US private market added only 99k new jobs in August, far below analysts' expectations of 144k. The weak ADP data raised market concerns about the US economy's conditions, increasing the likelihood of a 50 basis point rate cut by the Fed in September.Last week, the number of initial jobless claims in the United States was 227k, which was lower than the estimated 231k.The S&P Global Services PMI was 55.7 in August, up from the forecasted 55.2.Last Friday (24-09-06)In the United States, nonfarm payrolls (NFP) increased by 142,000 in August, less than 160,000 market expectations. This followed an increase of 89,000 in July, revised from 114,000. The USD index traded volatilely in the Friday session, while US equities fell as concerns about the US economy outweighed risk appetite.The US unemployment rate fell back to 4.2% in August, after hitting 4.3% in July.The unemployment rate in Canada increased to 6.6% in August, exceeding the forecasted 6.5% and July's 6.4%.BTC price experienced a significant sell-off in the Friday US session and found support at 52.5k following an 8% drop.On Monday (24-09-09)The unemployment rate in the UK fell to 4.1% in July from 4.2% in June, meeting economists' expectations.The German CPI fell by 0.1% monthly in August, compared to a 0.3% increase in July. The annualized CPI change was 1.9%, which is lower than the 2.3% increase in July.On Wednesday (24-09-11)The US CPI increased by 0.2% month on month in August, matching the pace seen in July. August saw annualized CPI growth of 2.5%, down from 2.9% in July. However, the monthly core CPI growth rate reaches 0.3%, exceeding the estimated 0.2% and July's 0.2%. The stubborn shelter cost served as the primary driver of the unexpectedly higher core CPI growth.The CPI data released on Wednesday solidified the Federal Reserve's decision to cut interest rates by 25 basis points next week, with an 86% probability. US equities initially lost some ground after the CPI data was released. The market then turned bullish as the Fed's chances of cutting interest rates by 25 basis points increased, and risk assets were bid up. The S&P 500 index finished up 1.07%, while the Nasdaq index rose 2.15%. As a first reaction, the BTC price fell below $55.7k before regaining the $57,000 level by market close.Convert Portal Volume ChangeThe above table shows the volume change on our Convert Portal by zone. Market volatility began to rise in early September, and the BTC price closely tracked US equities. Last Friday after the weak job data in the US, the BTC price fell below $52.7k amid rising concerns about the US economy. The sentiment improved over the weekend, and BTC returned to above $57k on Wednesday.Last week, the Megadrop Zone saw a volume increase of 59.8%. The primary reason for the volume increase was the high demand for BounceBit ($BB).The volume of the Storage zone increased by 14.0% during the same time period. The BitTorrent ($BTTC) demand surge was the primary driver of the volume increase in the Storage zone.In addition, the NFT Zone's volume increased by 4.3%. The change was primarily driven by Mines of Dalarnia ($DAR).Why trade OTC?  Binance offers our clients various ways to access OTC trading, including chat communication channels and the Binance OTC platform (https://www.binance.com/en/otc) for manual price quotations, Algo Orders, or automated price quotations via Binance Convert and Block Trade platform (https://www.binance.com/en/convert) and the Binance Convert OTC API. Email: trading@binance.com for more information.Join our Telegram (https://t.me/BinanceOTC) to stay up to date with the markets!","This week, the US labour market and CPI data released before next week’s FOMC meeting. Some altcoins had a more independent journey. Sui is a new layer 1 blockchain and smart contract platform. SUI achieved a 15.3% gain in one week. Book of Meme ($BOME) also saw a 73.4% volume increase on Convert"
2024-09-12,"According to Foresight News, Bitcoin staking platform Solv has integrated Chainlink's Cross-Chain Interoperability Protocol (CCIP) to launch the industry's largest cross-chain Bitcoin staking solution. This new solution supports SolvBTC and its Liquid Staking Tokens (LST) assets, including SolvBTC.BBN and SolvBTC.ENA, enabling cross-chain interoperability across Ethereum, BNB Chain, Arbitrum, and Avalanche. The platform plans to expand to additional networks in the future. Currently, the total amount of SolvBTC and its LST products exceeds 20,000 Bitcoins, with over 10,000 Bitcoin assets achieving cross-chain functionality through Solv. This development marks a significant milestone in the evolution of cross-chain Bitcoin staking, providing users with enhanced flexibility and broader network support.","Solv has integrated Chainlink's Cross-Chain Interoperability Protocol (CCIP) to launch the industry's largest cross-chain Bitcoin staking solution. SolvBTC and its Liquid Staking Tokens (LST) have over 10,000 Bitcoin assets that can be staked on different networks."
2024-09-12,"According to CoinDesk, Bitcoin rose above $58,000 during Asian trading hours on Thursday, driven by a rally in U.S. technology stocks and gains in Asian equity markets. Despite this increase, U.S. spot bitcoin ETFs experienced outflows, with Ark Invest’s ARKB seeing a notable $54 million outflow, contributing to a total loss of $43 million after a two-day inflow streak.U.S. inflation data for August supported expectations for a Federal Reserve rate cut in the coming weeks, as core inflation rose faster than anticipated to more than 0.3%. This economic backdrop saw chipmaker Nvidia (NVDA) end the day up 8.2%, while major stocks like Microsoft (MSFT), Google (GOOGL), and Apple (AAPL) saw gains as high as 2.13%. These gains extended to Asian markets on Thursday, with stock indices in Japan, South Korea, and Taiwan surging. Japan’s Nikkei 225 index broke out of a seven-day losing streak as the yen slightly retreated after hitting a record high against the U.S. dollar on Tuesday.Meanwhile, layer-1 blockchain Sui (SUI) outperformed the market, rising over 16% according to CoinDesk Indices data, compared to a 1.67% rise in the broader CoinDesk 20 (CD20) index. SUI's performance is likely influenced by Grayscale’s recent announcement about opening the Grayscale Sui Trust. According to Grayscale, the NAV per share of the Trust is $13.50, with each share containing 14.95 SUI tokens, valuing each Sui token in the trust at 90 cents. Given Sui’s current market value of just over $1, the market appears to be anticipating a Grayscale discount.Elsewhere, AI tokens posted modest gains amid reports that OpenAI is planning to raise $6.5 billion at a valuation of $150 billion. NEAR Protocol’s NEAR token increased by 6%, while the Artificial Superintelligence Alliance’s FET token rose by 9%, trading above $1.40.","Bitcoin rose above $58,000 during Asian trading hours on Thursday, driven by a rally in technology stocks and gains in Asian equity markets. U.S. spot bitcoin ETFs experienced outflows, with Ark Invest’s ARKB having a total loss of $43 million."
2024-09-12,"According to BlockBeats, on September 12, renowned cryptocurrency analyst Willy Woo shared his insights on social media regarding the current state of Bitcoin. Woo highlighted several key points about Bitcoin's short-term, mid-term, and macro trends.In the short term, Woo indicated that the timing signals suggest a bullish fluctuation over the next 1-3 weeks. This optimistic outlook is based on recent market activities and trends observed in the cryptocurrency space.For the mid-term, Woo noted that since the halving event in April, the supply-demand dynamics have been bearish. However, he mentioned that the past four weeks might have started to show signs of a reversal, although this has not yet been confirmed. Woo emphasized that more time is needed for Bitcoin to break its historical highs.On a macro level, Woo pointed out that risk signals have validated lower lows, indicating that Bitcoin is not in a bear market. Instead, it is in a reaccumulation phase, waiting for the right conditions to emerge. This phase suggests that investors are gradually building up their positions, anticipating future growth.","Willy Woo shared his insights on social media regarding Bitcoin's short-term, mid-term and macro trends. In the short term, the timing signals suggest a bullish fluctuation over the next 1-3 weeks. Since the halving event in April, the supply-demand dynamics have been bearish. The past 4 weeks might have started to show signs of a reversal."
2024-09-12,"According to BlockBeats, on September 12, CryptoQuant analyst Tarek On-Chain shared insights on social media regarding the current trends in Bitcoin reserves on exchanges. He noted that Bitcoin reserves on exchanges are significantly decreasing, a trend that typically signals a price increase. The reduction in Bitcoin reserves on exchanges implies a decrease in selling pressure as investors move their Bitcoin to cold wallets, reducing the available supply in the market. Historically, such transfers have often been accompanied by price peaks, suggesting a similar situation might be unfolding now.At the same time, the reserves of stablecoins on exchanges are increasing, indicating that investors are preparing to enter the market. Stablecoins represent capital that can be deployed at any moment, and their increasing reserves suggest that traders are waiting for the right opportunity to enter the market. This growth indicates a strong buying intention within the market.Decreasing Bitcoin reserves and increasing stablecoin reserves sets the stage for a potential price surge. With the supply of Bitcoin decreasing and purchasing power increasing, the market is poised for an upward trend. Historically, such supply-demand imbalances have often led to significant price increases.The decrease in Bitcoin reserves coupled with the increase in stablecoin reserves suggests a bullish outlook for Bitcoin. As market supply tightens and purchasing power accumulates, we may see a price breakout in the coming weeks. Investors should remain vigilant and watch for potential market upswings.",The current trends in Bitcoin reserves on exchanges are decreasing and stablecoin reserves are increasing. Stablecoins represent capital that can be deployed at any moment and their increasing reserves suggest that traders are waiting for the right opportunity to enter the market. The supply-demand imbalances have often led to significant price increases.
2024-09-12,"According to BlockBeats, as of September 11, the Monochrome Bitcoin ETF (IBTC) in Australia has reached a holding of 136 BTC. This information was confirmed through official sources on September 12.",The Monochrome Bitcoin ETF (IBTC) in Australia has reached a holding of 136 BTC as of September 11th. This information was confirmed through official sources on September 12th. BlockBeats has confirmed this information to Blockbeats' sources. The information has been confirmed by official sources.
2024-09-12,"According to Odaily, as of September 11, Hong Kong's Bitcoin spot ETF holds a total of 4,500 BTC, with assets under management (AUM) amounting to approximately $289 million.","Hong Kong's Bitcoin spot ETF holds 4,500 BTC with assets under management (AUM) amounting to approximately $289 million as of September 11th, according to Odaily, Hong Kong's bitcoin spot ETF has AUM of $289m as of the same date."
2024-09-12,"According to Odaily, Bitcoin mining company Marathon Digital Holdings has announced that its Bitcoin holdings have increased to 26,200 BTC. Earlier in mid-August, Marathon Digital Holdings purchased 4,144 BTC for $249 million.","Marathon Digital Holdings has increased its Bitcoin holdings to 26,200 BTC. Marathon Digital Holdings bought 4,144 BTC for $249 million in mid-August for $1.5 billion in August, according to Odaily's reports. The Bitcoin mining company has announced that it has bought 26,000 BTC in August."
2024-09-12,"On Sep 12, 2024, 02:00 AM (UTC), according to Binance Market Data, Bitcoin (BTC) has crossed the 58,000 USDT benchmark and is now trading at 58,302 USDT, with a narrowed 2.67% increase in 24 hours.","Bitcoin has crossed the 58,000 USDT benchmark and is now trading at 58,302 USDT, with a narrowed 2.67% increase in 24 hours. Bitcoin is trading at 02:00 AM (UTC) on Sep 12, 2024, on Binance Market Data."
2024-09-11,"According to BlockBeats, on September 12, monitoring data from lookonchain revealed notable movements in cryptocurrency ETFs. Bitcoin ETFs experienced a net inflow of $44.32 million yesterday, indicating a strong interest from investors. In contrast, Ethereum ETFs saw a net outflow of $3.72 million, suggesting a shift in investor sentiment.These contrasting trends highlight the differing market dynamics between Bitcoin and Ethereum. The substantial inflows into Bitcoin ETFs may reflect growing confidence in Bitcoin's potential as a store of value and investment asset. Meanwhile, the outflows from Ethereum ETFs could indicate profit-taking or a temporary decline in interest among investors.The data underscores the evolving landscape of cryptocurrency investments, with Bitcoin continuing to attract significant capital while Ethereum faces short-term challenges. As the market develops, these trends will be crucial for investors to monitor, providing insights into the broader sentiment and potential future movements in the cryptocurrency space.","Bitcoin and Ethereum exchange traded funds experienced a net inflow of $44.32 million yesterday and a net outflow of $3.72 million on September 12. The data highlights the differing market dynamics between Bitcoin and Ethereum. Bitcoin continues to attract significant capital, while Ethereum faces short-term challenges."
2024-09-11,"According to BlockBeats, on September 12, CryptoQuant released an analysis indicating that in the current risk-averse environment, investors seem to prefer traditional safe-haven assets like gold over Bitcoin.CryptoQuant data reveals that the correlation between Bitcoin and gold has significantly decreased recently. Gold prices have surged to a new high of over $2,500 per ounce, while Bitcoin has been declining, currently more than 20% below its all-time high of over $73,000 set in March.Investors are increasingly buying gold and selling Bitcoin, with the U.S. stock market also facing difficulties. Since August 30, the S&P 500 index has dropped by 3.6%. CryptoQuant notes that the decline in Bitcoin prices is also accompanied by a drop in the U.S. dollar index, which is another indicator of broader risk aversion and uncertainty.","The correlation between Bitcoin and gold has significantly decreased recently. Gold prices have surged to a new high of over $2,500 per ounce. Bitcoin prices have been declining. The S&P 500 index has dropped by 3.6%. The decline in Bitcoin prices is accompanied by a drop in the U.S. dollar index."
2024-09-11,"According to Odaily, Bitcoin mining company CleanSpark has invested $27.5 million to acquire seven Bitcoin mining facilities in Tennessee. This acquisition is expected to increase CleanSpark's current hash rate by over 22%, reaching 5 ETH/s. The company anticipates completing the transaction by September 25.","CleanSpark has invested $27.5 million to acquire seven Bitcoin mining facilities in Tennessee. This is expected to increase CleanSpark's current hash rate by over 22%, reaching 5 ETH/s. The company anticipates completing the transaction by September 25."
2024-09-11,"According to Odaily, Lorenzo, the founder of Fractal Bitcoin, has confirmed that the Docker repository is solely for internal testing purposes. Sensitive files, including the bitcoin.conf file, have been removed. Users are advised to generate their own configuration files. The latest released version remains v0.2.1, with no further updates at this time.",The Docker repository is only for internal testing purposes. The latest released version remains v0.2.1. Users are advised to generate their own configuration files. The bitcoin.conf file has been removed from the Docker repository. The Docker repository has no further updates.
2024-09-11,"According to Odaily, a dormant Bitcoin address containing 108 BTC has been activated after 10.7 years. The value of the Bitcoin in this address is approximately $6,061,736.","A dormant Bitcoin address containing 108 BTC has been activated after 10.7 years. The value of the Bitcoin in this address is approximately $6,6,061,736. The address has been active for 10 years and has a value of about $6.6 million."
2024-09-11,"On Sep 11, 2024, 1:54 PM (UTC), according to Binance Market Data, Bitcoin (BTC) dropped below 56,000 USDT and is now trading at 55,951.089844 USDT, with a narrowed 1.60% decrease in 24 hours.","On Sep 11, 2024, 1:54 PM (UTC), Bitcoin (BTC) dropped below 56,000 USDT and is now trading at 55,951.089844 USDT, with a narrowed 1.60% decrease in 24 hours. "
2024-09-11,"According to Odaily, cryptocurrency stocks experienced a downturn recently. ProShares Bitcoin Strategy ETF saw a decrease of 2.7%, while iShares Bitcoin Trust dropped by 2.6%.","ProShares Bitcoin Strategy ETF and iShares Bitcoin Trust saw a decrease of 2.7% and 2.6% recently, respectively, according to Odaily's sources. The Bitcoin Trust has dropped by 2.5%.     .  "
2024-09-11,"According to Odaily, cybersecurity experts have issued a warning that the notorious North Korean hacker group, Lazarus Group, may be eyeing US Bitcoin ETFs as their next target. Michael Pearl, Vice President of GTM Strategy at Cyvers, highlighted that the potential for substantial returns could attract hackers to focus on US Bitcoin ETFs. Data from Dune indicates that US ETFs currently hold Bitcoin valued at $52.1 billion, making them an enticing target for cybercriminals. Pearl emphasized that not only ETF providers but all associated companies could be at risk of attacks. He stressed the urgency of addressing ETF vulnerabilities to prevent a potential 'super hacker' incident. The cybersecurity community is on high alert, urging rapid action to mitigate these risks and protect the substantial assets held within US Bitcoin ETFs.","The North Korean hacker group, Lazarus Group, may be targeting US Bitcoin ETFs as their next target. Cybersecurity experts are on high alert, urging rapid action to mitigate the risks and protect the substantial assets held within US BitcoinETFs. The Bitcoin exchange rate is $52.1 billion."
2024-09-11,"On Sep 11, 2024, 13:05 PM (UTC). According to Binance Market Data, Bitcoin (BTC) has crossed the 57,000 USDT benchmark and is now trading at 57,000.980469 USDT, with a narrowed 0.18% decrease in 24 hours.","Bitcoin has crossed the 57,000 USDT benchmark and is now trading at 57.980469 USDT, with a narrowed 0.18% decrease in 24 hours. Bitcoin is trading on Sep 11, 2024 at 13:05 PM (UTC). "
2024-09-11,"According to BlockBeats, an analysis published by Coindesk on September 11 reveals that Bitcoin's weekly MACD has been negative since April, occasionally signaling the strongest bearish trend since 2022. However, Bitcoin's price has remained within a slightly downward-sloping channel between $50,000 and $70,000, forming a 'bull flag' pattern rather than a sharp decline, which contradicts the ongoing MACD signal. Global chart pattern expert Thomas N. Bulkowski typically defines a 'bull flag' pattern as a consolidation period characterized by a slightly downward-sloping channel following a steep upward trend. This pattern usually precedes a rise to higher levels, continuing the previous upward trend. Indicator data shows that since late April, the MACD has consistently been bearish. Combined with the flag price pattern, this suggests underlying bullish sentiment beneath the surface price action. This indicates that sellers have failed to establish a strong downward trend, even during the panic sell-off in early August, which only suppressed the price to between $55,000 and $50,000. The prolonged weakness of sellers implies that a sudden bull market resurgence and price increase may be imminent.","Bitcoin's weekly MACD has been negative since April. Bitcoin's price has remained within a slightly downward-sloping channel between $50,000 and $70,000. The chart pattern expert Thomas N. Bulkowski defines a 'bull flag' pattern as a consolidation period followed by a rise to higher levels, continuing the previous upward trend. Since late April, the MACD"
2024-09-11,"According to Odaily, on-chain data reveals that Bitcoin miners have sold more than 30,000 BTC in the past 72 hours. The total value of these transactions is approximately $1.71 billion. This significant sell-off has caught the attention of the cryptocurrency community, as it may impact Bitcoin's market dynamics and price stability.","Bitcoin miners have sold more than 30,000 BTC in the past 72 hours. The total value of these transactions is approximately $1.71 billion. The sell-off has caught the attention of the cryptocurrency community and may impact Bitcoin's market dynamics and price stability."
2024-09-11,"According to BlockBeats, Bitroot Network, a decentralized platform within the Bitcoin ecosystem, will launch its incentive testnet on September 12. The platform aims to offer services such as asset issuance, management, trading, innovative applications, and financial services within the Bitcoin ecosystem. On September 9, Bitroot Network announced that it had secured a $1 million investment from Moore Labs. This funding is intended to support the development of the Bitcoin ecosystem's financial network.","The Bitroot Network will launch its incentive testnet on September 12. The platform aims to offer services such as asset issuance, management, trading, innovative applications, and financial services within the Bitcoin ecosystem. On September 9, the platform announced that it had secured a $1 million investment from Moore Labs."
2024-09-11,"According to Odaily, Matrixport has released a chart indicating that while much attention is given to the potential impact of the next US president on Bitcoin, the actual influence may be more on the regulatory environment of the Bitcoin ecosystem rather than on Bitcoin itself. During the Republican administration (2016-2020) and the Democratic administration (2020-2024), cryptocurrencies experienced significant growth. Therefore, despite the media's focus on the upcoming election, Bitcoin is likely to maintain a positive performance regardless of who takes office."," Matrixport has released a chart showing that the influence of the next US president on Bitcoin is more on the regulatory environment of the Bitcoin ecosystem rather than on Bitcoin itself. During the Republican administration (2016-2020) and the Democratic administration (2020-2024), Bitcoin experienced significant growth."
